(-1.#IND,-1.#IND)
(350843794194148.75,0)
(341420764396277.37,0)
(193272668882869.5,0)
(187389733994093.06,0)
(182356784640389.12,0)
(126906261795309.73,0)
(113883754386399.31,0)
(110825042706629.28,0)
(103229170957624.45,0)
(62736230530218.227,0)
(67782104268456.242,0)
(69898593688728.32,0)
(41193721501014.656,0)
(37333648463065.102,0)
(31114663370034.199,0)
(22689055378294.281,0)
(16618702079708.043,0)
(-0.038130105849549165,0)
(2525325723015.8662,0)
(4155290787822.3413,0)
(10099807206757.061,0)
(7779817788873.3486,0)
(-1.#IND,-1.#IND)
(-1.#IND,-1.#IND)
(-1.#IND,-1.#IND)
(-1.#IND,-1.#IND)
(-1.#IND,-1.#IND)
(1.8716412066927128,0)
(-0.051982944271336012,0)
